"name","type","borough","address","city","zip","lat","lon","license_no"
"ABIGAIL BEAUTY INC","salon","Bronx","685 E 187th St","Bronx","10458","40.85435","-73.88513","AEB-25-00986"
"ABOVE CUT BARBER SHOP","barber","Bronx","1180 E GUN HILL RD","BRONX","10469","40.87304","-73.85279","18AB4077475"
"ABREU BARBER SHOP","barber","Bronx","1209 WHEELER AVE","BRONX","10472","40.82888","-73.8802","18AB4060908"
"ABREU STUDIO BEAUTY SALON","salon","Bronx","1209C Wheeler Ave","Bronx","10472","40.82888","-73.8802","AEB-19-02690"
"Adan Style LLC","barber","Bronx","854 E 163rd St","Bronx","10459","40.82182","-73.89943","BSO-25-00530"
"Adelbi's Barbershop LLC","barber","Bronx","106 E 167th St","Bronx","10452","40.83493","-73.91918","BSO-23-00278"
"AGUSTIN BARBER SHOP","barber","Bronx","3 E Mosholu Pkwy N","Bronx","10467","40.88027","-73.88372","BSO-19-00501"
"AGUSTIN BARBER SHOP UNISEX","barber","Bronx","3 E MOSHOLU PKWY","BRONX","10467","40.88027","-73.88372","18AG4050082"
"AG-XTYLES LLC","salon","Bronx","5720 Mosholu Ave","Bronx","10471","40.9056","-73.89976","AEB-25-01053"
"AISHAS AFRICAN HAIR BRAIDING LLC","salon","Bronx","1405 Bronx River Ave","Bronx","10472","40.83419","-73.87945","AEB-25-00247"
"Alayna Beauty Lounge","salon","Bronx","1670 Southern Blvd","Bronx","10460","40.83614","-73.8885","AEB-25-00234"
"ALBANA'S BEAUTY SALON INC","salon","Bronx","737 Astor Ave","Bronx","10467","40.85958","-73.86597","AEB-18-01315"
"ALBANIA BEAUTY SALON UNISEX","salon","Bronx","1203 LELAND AVE","BRONX","10472","40.83053","-73.86319","21SA1150470"
"Alberto Alatorre Sanchez","barber","Bronx","235 W 231st St","Bronx","10463","40.87952","-73.90598","BSO-26-00310"
"ALBERTOS BARBER SHOP","barber","Bronx","736 NEREID AVE","BRONX","10466","40.89798","-73.85309","18AL4071927"
"ALCANIA'S GLAMOUR","barber","Bronx","1276 Gerard Ave","Bronx","10452","40.83721","-73.91925","BSO-25-00031"
"alcantaras nail salon corp","salon","Bronx","719 Morris Park Ave","Bronx","10462","40.84536","-73.86545","AEB-19-00043"
"ALCEDO BARBER SHOP","barber","Bronx","116 E 183rd St","Bronx","10453","40.85787","-73.90129","BSO-23-00453"
"ALEIDA BEAUTY SALON INC","salon","Bronx","3945 Carpenter Ave","Bronx","10466","40.88792","-73.86378","AEB-18-00753"
"ALEISHA NAIL BAR SALON & BARBERSHOP INC","salon","Bronx","136 W 238th St","Bronx","10463","40.88379","-73.89768","AEB-23-00802"
"ALEJANDRA UNISEX","salon","Bronx","2325 Arthur Ave","Bronx","10458","40.85384","-73.88906","AEB-14-00459"
"ALEJANDRA UNISEX","barber","Bronx","2325 Arthur Ave","Bronx","10458","40.85384","-73.88906","BSO-14-00100"
"ALEX UNISEX HAIRSTYLING INC","barber","Bronx","1058 Morris Park Ave","Bronx","10461","40.84899","-73.85429","BSO-23-00265"
